"","TSS","AUC_mean","AUC_sd","Kappa_mean","Kappa_sd","Sensi_mean","Sensi_sd","Speci_mean","Speci_sd"
"1",0.412225705329154,0.726576105886451,0.0345540817190816,0.327521793275218,0.0541541208203526,0.803030303030303,0.0493297593821203,0.609195402298851,0.0370966838737956
"2",0.334866220735786,0.696697324414716,0.0365318280817564,0.218703071672355,0.0485268624521722,0.807692307692308,0.0551869272291876,0.527173913043478,0.0369064374891639
"3",0.295801693287946,0.66025137470542,0.0355473313747559,0.208669416907826,0.043292608127827,0.880597014925373,0.0399139058759117,0.415204678362573,0.037792759455032
"4",0.338888888888889,0.659722222222222,0.0361323169531506,0.225092250922509,0.0433170581123952,0.883333333333333,0.0417935919902812,0.455555555555556,0.0372238203423939
"5",0.358817301875378,0.66882183908046,0.0345318063958031,0.313377142291054,0.052747970344145,0.839080459770115,0.0396238772567941,0.519736842105263,0.0406577100256261
"6",0.316287878787878,0.658402203856749,0.0354337793521735,0.2481426448737,0.0545568754328466,0.742424242424242,0.0542402755105653,0.573863636363636,0.0373817498041216
"7",0.209358455309872,0.657894736842105,0.0346370298585493,0.213218094596202,0.0659660058444961,0.434210526315789,0.0572330609761356,0.775147928994083,0.0322096570451453
"8",0.327664005553627,0.641400555362721,0.0366645421360848,0.262012975748534,0.0553239412634319,0.746268656716418,0.0535627285496473,0.581395348837209,0.037725911890875
"9",0.172837243401759,0.65345491202346,0.0390245446021975,0.206232914160744,0.0687153422042237,0.258064516129032,0.0560250561106252,0.914772727272727,0.021107017751144
"10",0.35142118863049,0.709302325581395,0.0333579039926199,0.305746803428411,0.0589594028775761,0.694444444444444,0.0546681870597892,0.656976744186046,0.0363026831757484
